Region,Year Count,Averaged Score,Total Score
Seattle,16,5.05,80.795
Los Angeles,29,4.008,116.22
Atlanta,8,3.958,31.661
Portland,14,3.274,45.834
Columbus,29,3.204,92.915
Houston,19,3.201,60.816
Salt Lake City,20,3.116,62.312
New York,29,3.113,90.286
Kansas City,29,2.997,86.906
Nashville,5,2.738,13.688
Washington DC,29,2.616,75.874
Boston,29,2.565,74.386
Minneapolis,8,2.363,18.902
Philadelphia,15,2.31,34.647
Dallas,29,2.302,66.764
Denver,29,2.28,66.126
Charlotte,3,2.172,6.516
Cincinnati,6,2.155,12.931
Tampa,6,2.14,12.84
Chicago,27,2.139,57.758
Orlando,10,2.046,20.462
Toronto,18,2.044,36.795
Miami,9,1.998,17.983
San Jose,27,1.886,50.909
St. Louis,2,1.71,3.42
Vancouver,14,1.662,23.268
Austin,4,1.543,6.173
Montreal,13,0.807,10.492
