Region,Year Count,Averaged Score,Total Score
Las Vegas,7,5.671,39.696
Tampa,31,3.026,93.804
Pittsburgh,44,2.897,127.477
Denver,31,2.896,89.775
Boston,44,2.625,115.501
Detroit,44,2.577,113.392
Dallas,30,2.575,77.248
Chicago,44,2.339,102.914
Edmonton,44,2.29,100.74
St. Louis,44,2.242,98.667
San Jose,32,2.223,71.122
Nashville,25,2.208,55.19
Washington DC,44,2.203,96.948
Newark,41,2.169,88.943
Montreal,44,2.163,95.189
Charlotte,26,2.138,55.594
Philadelphia,44,2.037,89.622
New York,44,2.029,89.279
Los Angeles,44,1.863,81.952
Miami/Fort Lauderdale,30,1.792,53.761
Minneapolis,37,1.773,65.599
Ottawa,31,1.683,52.171
Vancouver,44,1.643,72.276
Calgary,43,1.637,70.376
Toronto,44,1.595,70.191
Seattle,3,1.571,4.714
Winnipeg,30,1.484,44.525
Buffalo,44,1.325,58.285
Phoenix,27,1.071,28.909
Columbus,23,1.019,23.431
Quebec City,16,1.005,16.078
Hartford,18,0.757,13.626
Atlanta,12,0.515,6.176
