Round,Final Score,Winner,Loser,year
World Series,4-2,Philadelphia Phillies,Kansas City Royals,1980
ALCS,3-0,Kansas City Royals,New York Yankees,1980
NLCS,3-2,Philadelphia Phillies,Houston Astros,1980
World Series,4-2,Los Angeles Dodgers,New York Yankees,1981
ALCS,3-0,New York Yankees,Oakland Athletics,1981
NLCS,3-2,Los Angeles Dodgers,Montreal Expos,1981
AL Division Series,3-2,New York Yankees,Milwaukee Brewers,1981
AL Division Series,3-0,Oakland Athletics,Kansas City Royals,1981
NL Division Series,3-2,Montreal Expos,Philadelphia Phillies,1981
NL Division Series,3-2,Los Angeles Dodgers,Houston Astros,1981
World Series,4-3,St. Louis Cardinals,Milwaukee Brewers,1982
ALCS,3-2,Milwaukee Brewers,California Angels,1982
NLCS,3-0,St. Louis Cardinals,Atlanta Braves,1982
World Series,4-1,Baltimore Orioles,Philadelphia Phillies,1983
ALCS,3-1,Baltimore Orioles,Chicago White Sox,1983
NLCS,3-1,Philadelphia Phillies,Los Angeles Dodgers,1983
World Series,4-1,Detroit Tigers,San Diego Padres,1984
ALCS,3-0,Detroit Tigers,Kansas City Royals,1984
NLCS,3-2,San Diego Padres,Chicago Cubs,1984
World Series,4-3,Kansas City Royals,St. Louis Cardinals,1985
ALCS,4-3,Kansas City Royals,Toronto Blue Jays,1985
NLCS,4-2,St. Louis Cardinals,Los Angeles Dodgers,1985
World Series,4-3,New York Mets,Boston Red Sox,1986
ALCS,4-3,Boston Red Sox,California Angels,1986
NLCS,4-2,New York Mets,Houston Astros,1986
World Series,4-3,Minnesota Twins,St. Louis Cardinals,1987
ALCS,4-1,Minnesota Twins,Detroit Tigers,1987
NLCS,4-3,St. Louis Cardinals,San Francisco Giants,1987
World Series,4-1,Los Angeles Dodgers,Oakland Athletics,1988
ALCS,4-0,Oakland Athletics,Boston Red Sox,1988
NLCS,4-3,Los Angeles Dodgers,New York Mets,1988
World Series,4-0,Oakland Athletics,San Francisco Giants,1989
ALCS,4-1,Oakland Athletics,Toronto Blue Jays,1989
NLCS,4-1,San Francisco Giants,Chicago Cubs,1989
World Series,4-0,Cincinnati Reds,Oakland Athletics,1990
ALCS,4-0,Oakland Athletics,Boston Red Sox,1990
NLCS,4-2,Cincinnati Reds,Pittsburgh Pirates,1990
World Series,4-3,Minnesota Twins,Atlanta Braves,1991
ALCS,4-1,Minnesota Twins,Toronto Blue Jays,1991
NLCS,4-3,Atlanta Braves,Pittsburgh Pirates,1991
World Series,4-2,Toronto Blue Jays,Atlanta Braves,1992
ALCS,4-2,Toronto Blue Jays,Oakland Athletics,1992
NLCS,4-3,Atlanta Braves,Pittsburgh Pirates,1992
World Series,4-2,Toronto Blue Jays,Philadelphia Phillies,1993
