Winner,Loser,Round,year
TB Mutiny,Columbus Crew,Conference Semifinal,1996
D.C. United,MetroStars,Conference Semifinal,1996
LA Galaxy,SJ Clash,Conference Semifinal,1996
KC Wiz,Dallas Burn,Conference Semifinal,1996
D.C. United,TB Mutiny,Conference Final,1996
LA Galaxy,KC Wiz,Conference Final,1996
D.C. United,LA Galaxy,MLS Cup,1996
D.C. United,NE Revolution,Conference Semifinal,1997
Columbus Crew,TB Mutiny,Conference Semifinal,1997
Colorado Rapids,KC Wizards,Conference Semifinal,1997
Dallas Burn,LA Galaxy,Conference Semifinal,1997
D.C. United,Columbus Crew,Conference Final,1997
Colorado Rapids,Dallas Burn,Conference Final,1997
D.C. United,Colorado Rapids,MLS Cup,1997
D.C. United,Miami Fusion,Conference Semifinal,1998
Columbus Crew,NY Red Bulls,Conference Semifinal,1998
LA Galaxy,Dallas Burn,Conference Semifinal,1998
Chicago Fire,Colorado Rapids,Conference Semifinal,1998
D.C. United,Columbus Crew,Conference Final,1998
Chicago Fire,LA Galaxy,Conference Final,1998
Chicago Fire,D.C. United,MLS Cup,1998
D.C. United,Miami Fusion,Conference Semifinal,1999
Columbus Crew,TB Mutiny,Conference Semifinal,1999
LA Galaxy,Colorado Rapids,Conference Semifinal,1999
Dallas Burn,Chicago Fire,Conference Semifinal,1999
D.C. United,Columbus Crew,Conference Final,1999
LA Galaxy,Dallas Burn,Conference Final,1999
D.C. United,LA Galaxy,MLS Cup,1999
KC Wizards,Colorado Rapids,Conference Quarterfinal,2000
Chicago Fire,NE Revolution,Conference Quarterfinal,2000
NY Red Bulls,Dallas Burn,Conference Quarterfinal,2000
LA Galaxy,TB Mutiny,Conference Quarterfinal,2000
KC Wizards,LA Galaxy,Conference Semifinal,2000
Chicago Fire,NY Red Bulls,Conference Semifinal,2000
KC Wizards,Chicago Fire,MLS Cup,2000
Miami Fusion,KC Wizards,Conference Quarterfinal,2001
Chicago Fire,Dallas Burn,Conference Quarterfinal,2001
LA Galaxy,NY Red Bulls,Conference Quarterfinal,2001
SJ Earthquakes,Columbus Crew,Conference Quarterfinal,2001
SJ Earthquakes,Miami Fusion,Conference Semifinal,2001
LA Galaxy,Chicago Fire,Conference Semifinal,2001
SJ Earthquakes,LA Galaxy,MLS Cup,2001
LA Galaxy,KC Wizards,Conference Quarterfinal,2002
NE Revolution,Chicago Fire,Conference Quarterfinal,2002
Columbus Crew,SJ Earthquakes,Conference Quarterfinal,2002
Colorado Rapids,Dallas Burn,Conference Quarterfinal,2002
LA Galaxy,Colorado Rapids,Conference Semifinal,2002
NE Revolution,Columbus Crew,Conference Semifinal,2002
LA Galaxy,NE Revolution,MLS Cup,2002
KC Wizards,Colorado Rapids,Conference Semifinals,2003
Chicago Fire,D.C. United,Conference Semifinals,2003
NE Revolution,NY Red Bulls,Conference Semifinals,2003
SJ Earthquakes,LA Galaxy,Conference Semifinals,2003
Chicago Fire,NE Revolution,Conference Finals,2003
