Round,Winner,Loser,Series Score,year
Finals,Boston Celtics,Dallas Mavericks,(4-1),2024
Eastern Conference Finals,Boston Celtics,Indiana Pacers,(4-0),2024
Western Conference Finals,Dallas Mavericks,Minnesota Timberwolves,(4-1),2024
Eastern Conference Semifinals,Boston Celtics,Cleveland Cavaliers,(4-1),2024
Eastern Conference Semifinals,Indiana Pacers,New York Knicks,(4-3),2024
Western Conference Semifinals,Dallas Mavericks,Oklahoma City Thunder,(4-2),2024
Western Conference Semifinals,Minnesota Timberwolves,Denver Nuggets,(4-3),2024
Eastern Conference First Round,Boston Celtics,Miami Heat,(4-1),2024
Eastern Conference First Round,Cleveland Cavaliers,Orlando Magic,(4-3),2024
Eastern Conference First Round,Indiana Pacers,Milwaukee Bucks,(4-2),2024
Eastern Conference First Round,New York Knicks,Philadelphia 76ers,(4-2),2024
Western Conference First Round,Dallas Mavericks,Los Angeles Clippers,(4-2),2024
Western Conference First Round,Denver Nuggets,Los Angeles Lakers,(4-1),2024
Western Conference First Round,Minnesota Timberwolves,Phoenix Suns,(4-0),2024
Western Conference First Round,Oklahoma City Thunder,New Orleans Pelicans,(4-0),2024
