Round,Winner,Loser,Series Score,year
Finals,Los Angeles Lakers,Philadelphia 76ers,(4-2),1980
Eastern Conference Finals,Philadelphia 76ers,Boston Celtics,(4-1),1980
Western Conference Finals,Los Angeles Lakers,Seattle SuperSonics,(4-1),1980
Eastern Conference Semifinals,Boston Celtics,Houston Rockets,(4-0),1980
Eastern Conference Semifinals,Philadelphia 76ers,Atlanta Hawks,(4-1),1980
Western Conference Semifinals,Los Angeles Lakers,Phoenix Suns,(4-1),1980
Western Conference Semifinals,Seattle SuperSonics,Milwaukee Bucks,(4-3),1980
Eastern Conference First Round,Houston Rockets,San Antonio Spurs,(2-1),1980
Eastern Conference First Round,Philadelphia 76ers,Washington Bullets,(2-0),1980
Western Conference First Round,Phoenix Suns,Kansas City Kings,(2-1),1980
Western Conference First Round,Seattle SuperSonics,Portland Trail Blazers,(2-1),1980
Finals,Boston Celtics,Houston Rockets,(4-2),1981
Eastern Conference Finals,Boston Celtics,Philadelphia 76ers,(4-3),1981
Western Conference Finals,Houston Rockets,Kansas City Kings,(4-1),1981
Eastern Conference Semifinals,Boston Celtics,Chicago Bulls,(4-0),1981
Eastern Conference Semifinals,Philadelphia 76ers,Milwaukee Bucks,(4-3),1981
Western Conference Semifinals,Houston Rockets,San Antonio Spurs,(4-3),1981
Western Conference Semifinals,Kansas City Kings,Phoenix Suns,(4-3),1981
Eastern Conference First Round,Chicago Bulls,New York Knicks,(2-0),1981
Eastern Conference First Round,Philadelphia 76ers,Indiana Pacers,(2-0),1981
Western Conference First Round,Houston Rockets,Los Angeles Lakers,(2-1),1981
Western Conference First Round,Kansas City Kings,Portland Trail Blazers,(2-1),1981
Finals,Los Angeles Lakers,Philadelphia 76ers,(4-2),1982
Eastern Conference Finals,Philadelphia 76ers,Boston Celtics,(4-3),1982
Western Conference Finals,Los Angeles Lakers,San Antonio Spurs,(4-0),1982
Eastern Conference Semifinals,Boston Celtics,Washington Bullets,(4-1),1982
Eastern Conference Semifinals,Philadelphia 76ers,Milwaukee Bucks,(4-2),1982
Western Conference Semifinals,Los Angeles Lakers,Phoenix Suns,(4-0),1982
Western Conference Semifinals,San Antonio Spurs,Seattle SuperSonics,(4-1),1982
Eastern Conference First Round,Philadelphia 76ers,Atlanta Hawks,(2-0),1982
Eastern Conference First Round,Washington Bullets,New Jersey Nets,(2-0),1982
Western Conference First Round,Phoenix Suns,Denver Nuggets,(2-1),1982
Western Conference First Round,Seattle SuperSonics,Houston Rockets,(2-1),1982
Finals,Philadelphia 76ers,Los Angeles Lakers,(4-0),1983
Eastern Conference Finals,Philadelphia 76ers,Milwaukee Bucks,(4-1),1983
Western Conference Finals,Los Angeles Lakers,San Antonio Spurs,(4-2),1983
Eastern Conference Semifinals,Milwaukee Bucks,Boston Celtics,(4-0),1983
Eastern Conference Semifinals,Philadelphia 76ers,New York Knicks,(4-0),1983
Western Conference Semifinals,Los Angeles Lakers,Portland Trail Blazers,(4-1),1983
Western Conference Semifinals,San Antonio Spurs,Denver Nuggets,(4-1),1983
Eastern Conference First Round,Boston Celtics,Atlanta Hawks,(2-1),1983
Eastern Conference First Round,New York Knicks,New Jersey Nets,(2-0),1983
Western Conference First Round,Denver Nuggets,Phoenix Suns,(2-1),1983
Western Conference First Round,Portland Trail Blazers,Seattle SuperSonics,(2-0),1983
Finals,Boston Celtics,Los Angeles Lakers,(4-3),1984
Eastern Conference Finals,Boston Celtics,Milwaukee Bucks,(4-1),1984
Western Conference Finals,Los Angeles Lakers,Phoenix Suns,(4-2),1984
Eastern Conference Semifinals,Boston Celtics,New York Knicks,(4-3),1984
Eastern Conference Semifinals,Milwaukee Bucks,New Jersey Nets,(4-2),1984
Western Conference Semifinals,Los Angeles Lakers,Dallas Mavericks,(4-1),1984
Western Conference Semifinals,Phoenix Suns,Utah Jazz,(4-2),1984
Eastern Conference First Round,Boston Celtics,Washington Bullets,(3-1),1984
Eastern Conference First Round,Milwaukee Bucks,Atlanta Hawks,(3-2),1984
Eastern Conference First Round,New Jersey Nets,Philadelphia 76ers,(3-2),1984
Eastern Conference First Round,New York Knicks,Detroit Pistons,(3-2),1984
Western Conference First Round,Dallas Mavericks,Seattle SuperSonics,(3-2),1984
