Round,Series Score,Winner,Loser,year
Final,4-3,Florida Panthers,Edmonton Oilers,2024
Conference Finals,4-2,Edmonton Oilers,Dallas Stars,2024
Conference Finals,4-2,Florida Panthers,New York Rangers,2024
Second Round,4-3,Edmonton Oilers,Vancouver Canucks,2024
Second Round,4-2,Dallas Stars,Colorado Avalanche,2024
Second Round,4-2,Florida Panthers,Boston Bruins,2024
Second Round,4-2,New York Rangers,Carolina Hurricanes,2024
First Round,4-3,Boston Bruins,Toronto Maple Leafs,2024
First Round,4-1,Carolina Hurricanes,New York Islanders,2024
First Round,4-0,New York Rangers,Washington Capitals,2024
First Round,4-1,Florida Panthers,Tampa Bay Lightning,2024
First Round,4-1,Edmonton Oilers,Los Angeles Kings,2024
First Round,4-3,Dallas Stars,Vegas Golden Knights,2024
First Round,4-2,Vancouver Canucks,Nashville Predators,2024
First Round,4-1,Colorado Avalanche,Winnipeg Jets,2024
