Round,Series Score,Winner,Loser,year
Final,4-2,New York Islanders,Philadelphia Flyers,1980
Semi-Finals,4-2,New York Islanders,Buffalo Sabres,1980
Semi-Finals,4-1,Philadelphia Flyers,Minnesota North Stars,1980
Quarter-Finals,4-1,New York Islanders,Boston Bruins,1980
Quarter-Finals,4-3,Minnesota North Stars,Montreal Canadiens,1980
Quarter-Finals,4-0,Buffalo Sabres,Chicago Black Hawks,1980
Quarter-Finals,4-1,Philadelphia Flyers,New York Rangers,1980
Preliminary Round,3-1,New York Rangers,Atlanta Flames,1980
Preliminary Round,3-0,Chicago Black Hawks,St. Louis Blues,1980
Preliminary Round,3-0,Minnesota North Stars,Toronto Maple Leafs,1980
Preliminary Round,3-1,New York Islanders,Los Angeles Kings,1980
Preliminary Round,3-2,Boston Bruins,Pittsburgh Penguins,1980
Preliminary Round,3-0,Montreal Canadiens,Hartford Whalers,1980
Preliminary Round,3-1,Buffalo Sabres,Vancouver Canucks,1980
Preliminary Round,3-0,Philadelphia Flyers,Edmonton Oilers,1980
Final,4-1,New York Islanders,Minnesota North Stars,1981
Semi-Finals,4-2,Minnesota North Stars,Calgary Flames,1981
Semi-Finals,4-0,New York Islanders,New York Rangers,1981
Quarter-Finals,4-3,Calgary Flames,Philadelphia Flyers,1981
Quarter-Finals,4-1,Minnesota North Stars,Buffalo Sabres,1981
Quarter-Finals,4-2,New York Rangers,St. Louis Blues,1981
Quarter-Finals,4-2,New York Islanders,Edmonton Oilers,1981
Preliminary Round,3-0,Minnesota North Stars,Boston Bruins,1981
Preliminary Round,3-0,Calgary Flames,Chicago Black Hawks,1981
Preliminary Round,3-2,Philadelphia Flyers,Quebec Nordiques,1981
Preliminary Round,3-0,Buffalo Sabres,Vancouver Canucks,1981
Preliminary Round,3-1,New York Rangers,Los Angeles Kings,1981
Preliminary Round,3-0,Edmonton Oilers,Montreal Canadiens,1981
Preliminary Round,3-2,St. Louis Blues,Pittsburgh Penguins,1981
Preliminary Round,3-0,New York Islanders,Toronto Maple Leafs,1981
Final,4-0,New York Islanders,Vancouver Canucks,1982
Conference Finals,4-1,Vancouver Canucks,Chicago Black Hawks,1982
Conference Finals,4-0,New York Islanders,Quebec Nordiques,1982
Division Finals,4-1,Vancouver Canucks,Los Angeles Kings,1982
Division Finals,4-2,New York Islanders,New York Rangers,1982
Division Finals,4-2,Chicago Black Hawks,St. Louis Blues,1982
Division Finals,4-3,Quebec Nordiques,Boston Bruins,1982
Division Semi-Finals,3-0,Vancouver Canucks,Calgary Flames,1982
Division Semi-Finals,3-2,Los Angeles Kings,Edmonton Oilers,1982
Division Semi-Finals,3-1,New York Rangers,Philadelphia Flyers,1982
Division Semi-Finals,3-2,New York Islanders,Pittsburgh Penguins,1982
Division Semi-Finals,3-1,St. Louis Blues,Winnipeg Jets,1982
Division Semi-Finals,3-1,Chicago Black Hawks,Minnesota North Stars,1982
Division Semi-Finals,3-1,Boston Bruins,Buffalo Sabres,1982
Division Semi-Finals,3-2,Quebec Nordiques,Montreal Canadiens,1982
Final,4-0,New York Islanders,Edmonton Oilers,1983
Conference Finals,4-0,Edmonton Oilers,Chicago Black Hawks,1983
Conference Finals,4-2,New York Islanders,Boston Bruins,1983
Division Finals,4-1,Edmonton Oilers,Calgary Flames,1983
Division Finals,4-1,Chicago Black Hawks,Minnesota North Stars,1983
Division Finals,4-2,New York Islanders,New York Rangers,1983
Division Finals,4-3,Boston Bruins,Buffalo Sabres,1983
Division Semi-Finals,3-1,Calgary Flames,Vancouver Canucks,1983
Division Semi-Finals,3-0,Edmonton Oilers,Winnipeg Jets,1983
Division Semi-Finals,3-1,Minnesota North Stars,Toronto Maple Leafs,1983
Division Semi-Finals,3-1,Chicago Black Hawks,St. Louis Blues,1983
Division Semi-Finals,3-1,New York Islanders,Washington Capitals,1983
Division Semi-Finals,3-0,New York Rangers,Philadelphia Flyers,1983
Division Semi-Finals,3-0,Buffalo Sabres,Montreal Canadiens,1983
Division Semi-Finals,3-1,Boston Bruins,Quebec Nordiques,1983
Final,4-1,Edmonton Oilers,New York Islanders,1984
Conference Finals,4-0,Edmonton Oilers,Minnesota North Stars,1984
Conference Finals,4-2,New York Islanders,Montreal Canadiens,1984
Division Finals,4-3,Edmonton Oilers,Calgary Flames,1984
Division Finals,4-3,Minnesota North Stars,St. Louis Blues,1984
Division Finals,4-1,New York Islanders,Washington Capitals,1984
Division Finals,4-2,Montreal Canadiens,Quebec Nordiques,1984
Division Semi-Finals,3-1,Calgary Flames,Vancouver Canucks,1984
Division Semi-Finals,3-0,Edmonton Oilers,Winnipeg Jets,1984
Division Semi-Finals,3-1,St. Louis Blues,Detroit Red Wings,1984
Division Semi-Finals,3-2,Minnesota North Stars,Chicago Black Hawks,1984
Division Semi-Finals,3-0,Washington Capitals,Philadelphia Flyers,1984
Division Semi-Finals,3-2,New York Islanders,New York Rangers,1984
Division Semi-Finals,3-0,Quebec Nordiques,Buffalo Sabres,1984
Division Semi-Finals,3-0,Montreal Canadiens,Boston Bruins,1984
Final,4-1,Edmonton Oilers,Philadelphia Flyers,1985
Conference Finals,4-2,Edmonton Oilers,Chicago Black Hawks,1985
Conference Finals,4-2,Philadelphia Flyers,Quebec Nordiques,1985
Division Finals,4-0,Edmonton Oilers,Winnipeg Jets,1985
Division Finals,4-2,Chicago Black Hawks,Minnesota North Stars,1985
Division Finals,4-1,Philadelphia Flyers,New York Islanders,1985
Division Finals,4-3,Quebec Nordiques,Montreal Canadiens,1985
Division Semi-Finals,3-1,Winnipeg Jets,Calgary Flames,1985
Division Semi-Finals,3-0,Edmonton Oilers,Los Angeles Kings,1985
Division Semi-Finals,3-0,Chicago Black Hawks,Detroit Red Wings,1985
Division Semi-Finals,3-0,Minnesota North Stars,St. Louis Blues,1985
Division Semi-Finals,3-2,New York Islanders,Washington Capitals,1985
Division Semi-Finals,3-0,Philadelphia Flyers,New York Rangers,1985
Division Semi-Finals,3-2,Quebec Nordiques,Buffalo Sabres,1985
