Team,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,year,OL,RPt%,ROW,RgRec,RgPt%,RW
Philadelphia Flyers,80,48,12,20,116,.725,327,254,0.87,-0.04,1980,,,,,,
New York Islanders,80,39,28,13,91,.569,281,247,0.41,-0.02,1980,,,,,,
New York Rangers,80,38,32,10,86,.538,308,284,0.29,-0.01,1980,,,,,,
Atlanta Flames,80,35,32,13,83,.519,282,269,0.16,-0.01,1980,,,,,,
Washington Capitals,80,27,40,13,67,.419,261,293,-0.38,0.02,1980,,,,,,
Chicago Black Hawks,80,34,27,19,87,.544,241,250,-0.11,0.01,1980,,,,,,
St. Louis Blues,80,34,34,12,80,.500,266,278,-0.14,0.01,1980,,,,,,
Vancouver Canucks,80,27,37,16,70,.438,256,281,-0.30,0.02,1980,,,,,,
Edmonton Oilers,80,28,39,13,69,.431,301,322,-0.25,0.01,1980,,,,,,
Winnipeg Jets,80,20,49,11,51,.319,214,314,-1.19,0.06,1980,,,,,,
Colorado Rockies,80,19,48,13,51,.319,234,308,-0.88,0.04,1980,,,,,,
Buffalo Sabres,80,47,17,16,110,.688,318,201,1.39,-0.07,1980,,,,,,
Boston Bruins,80,46,21,13,105,.656,310,234,0.91,-0.05,1980,,,,,,
Minnesota North Stars,80,36,28,16,88,.550,311,253,0.69,-0.04,1980,,,,,,
Toronto Maple Leafs,80,35,40,5,75,.469,304,327,-0.27,0.01,1980,,,,,,
Quebec Nordiques,80,25,44,11,61,.381,248,313,-0.77,0.04,1980,,,,,,
Montreal Canadiens,80,47,20,13,107,.669,328,240,1.05,-0.05,1980,,,,,,
Los Angeles Kings,80,30,36,14,74,.463,290,313,-0.27,0.01,1980,,,,,,
Pittsburgh Penguins,80,30,37,13,73,.456,251,303,-0.62,0.03,1980,,,,,,
Hartford Whalers,80,27,34,19,73,.456,303,312,-0.11,0.01,1980,,,,,,
Detroit Red Wings,80,26,43,11,63,.394,268,306,-0.45,0.02,1980,,,,,,
New York Islanders,80,48,18,14,110,.688,355,260,1.13,-0.06,1981,,,,,,
Philadelphia Flyers,80,41,24,15,97,.606,313,249,0.76,-0.04,1981,,,,,,
Calgary Flames,80,39,27,14,92,.575,329,298,0.37,-0.02,1981,,,,,,
New York Rangers,80,30,36,14,74,.463,312,317,-0.06,0.00,1981,,,,,,
Washington Capitals,80,26,36,18,70,.438,286,317,-0.37,0.02,1981,,,,,,
St. Louis Blues,80,45,18,17,107,.669,352,281,0.85,-0.04,1981,,,,,,
Chicago Black Hawks,80,31,33,16,78,.488,304,315,-0.13,0.01,1981,,,,,,
Vancouver Canucks,80,28,32,20,76,.475,289,301,-0.14,0.01,1981,,,,,,
Edmonton Oilers,80,29,35,16,74,.463,328,327,0.01,0.00,1981,,,,,,
Colorado Rockies,80,22,45,13,57,.356,258,344,-1.02,0.05,1981,,,,,,
Winnipeg Jets,80,9,57,14,32,.200,246,400,-1.83,0.09,1981,,,,,,
Buffalo Sabres,80,39,20,21,99,.619,327,250,0.92,-0.05,1981,,,,,,
Boston Bruins,80,37,30,13,87,.544,316,272,0.52,-0.03,1981,,,,,,
Minnesota North Stars,80,35,28,17,87,.544,291,263,0.33,-0.02,1981,,,,,,
Quebec Nordiques,80,30,32,18,78,.488,314,318,-0.05,0.00,1981,,,,,,
Toronto Maple Leafs,80,28,37,15,71,.444,322,367,-0.54,0.03,1981,,,,,,
Montreal Canadiens,80,45,22,13,103,.644,332,232,1.19,-0.06,1981,,,,,,
Los Angeles Kings,80,43,24,13,99,.619,337,290,0.56,-0.03,1981,,,,,,
Pittsburgh Penguins,80,30,37,13,73,.456,302,345,-0.51,0.03,1981,,,,,,
Hartford Whalers,80,21,41,18,60,.375,292,372,-0.95,0.05,1981,,,,,,
Detroit Red Wings,80,19,43,18,56,.350,252,339,-1.04,0.05,1981,,,,,,
Minnesota North Stars,80,37,23,20,94,.588,346,288,0.53,-0.19,1982,,,,,,
Winnipeg Jets,80,33,33,14,80,.500,319,332,-0.28,-0.12,1982,,,,,,
St. Louis Blues,80,32,40,8,72,.450,315,349,-0.52,-0.10,1982,,,,,,
Chicago Black Hawks,80,30,38,12,72,.450,332,363,-0.49,-0.10,1982,,,,,,
Toronto Maple Leafs,80,20,44,16,56,.350,298,380,-1.08,-0.05,1982,,,,,,
Detroit Red Wings,80,21,47,12,54,.338,270,351,-1.07,-0.05,1982,,,,,,
Edmonton Oilers,80,48,17,15,111,.694,417,295,1.33,-0.19,1982,,,,,,
Vancouver Canucks,80,30,33,17,77,.481,290,286,-0.01,-0.06,1982,,,,,,
Calgary Flames,80,29,34,17,75,.469,334,345,-0.18,-0.04,1982,,,,,,
Los Angeles Kings,80,24,41,15,63,.394,314,369,-0.68,0.01,1982,,,,,,
Colorado Rockies,80,18,49,13,49,.306,241,362,-1.43,0.08,1982,,,,,,
Montreal Canadiens,80,46,17,17,109,.681,360,223,1.68,-0.04,1982,,,,,,
Boston Bruins,80,43,27,10,96,.600,323,285,0.55,0.08,1982,,,,,,
Buffalo Sabres,80,39,26,15,93,.581,307,273,0.51,0.08,1982,,,,,,
Quebec Nordiques,80,33,31,16,82,.513,356,345,0.25,0.11,1982,,,,,,
Hartford Whalers,80,21,41,18,60,.375,264,351,-0.87,0.22,1982,,,,,,
New York Islanders,80,54,16,10,118,.738,385,250,1.63,-0.05,1982,,,,,,
New York Rangers,80,39,27,14,92,.575,316,306,0.21,0.09,1982,,,,,,
Philadelphia Flyers,80,38,31,11,87,.544,325,313,0.24,0.09,1982,,,,,,
Pittsburgh Penguins,80,31,36,13,75,.469,310,337,-0.21,0.13,1982,,,,,,
Washington Capitals,80,26,41,13,65,.406,319,338,-0.12,0.12,1982,,,,,,
Chicago Black Hawks,80,47,23,10,104,.650,338,268,0.75,-0.12,1983,,,,,,
Minnesota North Stars,80,40,24,16,96,.600,321,290,0.31,-0.08,1983,,,,,,
Toronto Maple Leafs,80,28,40,12,68,.425,293,330,-0.46,0.00,1983,,,,,,
St. Louis Blues,80,25,40,15,65,.406,285,316,-0.40,-0.01,1983,,,,,,
Detroit Red Wings,80,21,44,15,57,.356,263,344,-0.96,0.05,1983,,,,,,
Edmonton Oilers,80,47,21,12,106,.663,424,315,1.26,-0.10,1983,,,,,,
Calgary Flames,80,32,34,14,78,.488,321,317,0.07,0.02,1983,,,,,,
Vancouver Canucks,80,30,35,15,75,.469,303,309,-0.04,0.03,1983,,,,,,
Winnipeg Jets,80,33,39,8,74,.463,311,333,-0.23,0.05,1983,,,,,,
Los Angeles Kings,80,27,41,12,66,.413,308,365,-0.62,0.09,1983,,,,,,
Boston Bruins,80,50,20,10,110,.688,327,228,1.18,-0.06,1983,,,,,,
Montreal Canadiens,80,42,24,14,98,.613,350,286,0.78,-0.02,1983,,,,,,
Buffalo Sabres,80,38,29,13,89,.556,318,285,0.43,0.02,1983,,,,,,
Quebec Nordiques,80,34,34,12,80,.500,343,336,0.14,0.05,1983,,,,,,
Hartford Whalers,80,19,54,7,45,.281,261,403,-1.56,0.22,1983,,,,,,
Philadelphia Flyers,80,49,23,8,106,.663,326,240,0.96,-0.12,1983,,,,,,
New York Islanders,80,42,26,12,96,.600,302,226,0.84,-0.11,1983,,,,,,
Washington Capitals,80,39,25,16,94,.588,306,283,0.23,-0.05,1983,,,,,,
New York Rangers,80,35,35,10,80,.500,306,287,0.19,-0.05,1983,,,,,,
New Jersey Devils,80,17,49,14,48,.300,230,338,-1.27,0.08,1983,,,,,,
Pittsburgh Penguins,80,18,53,9,45,.281,257,394,-1.61,0.11,1983,,,,,,
Minnesota North Stars,80,39,31,10,88,.550,345,344,-0.14,-0.15,1984,,,,,,
